Role,Input
Network Administrator,april 2015 to october 2016 serve help desk daily cultivate endpoint ibm endpoint management big fix depth knowledge dns netbbios troubleshoots install windows 2008 active director tcp ip monthly operating system deployment osd windows 7 2010 asset intelligence and windows deployment services admin studio created application compatibility toolkit sccm troubleshoot bes ibm tem bigfix endpoint security iem norton symantec trend standard operating procedures bigfix develops maintains tivoli endpoint tem scm bourne itm administrationinstall itm universal agentsknowledge september 2013 to april 2015 govt of gujarat gujarat experienced ca nms gswan gujarat statewide area network network ca nms rf point point point multipoint lan local area network wired cisco 28xx 29xx patch configuration nic ip ip ip mask and gateway labeling itil govt network equipment april 2013 to july 2013 windows citrix windows citrix active directory vdi vmware ipm ormis checkpoint cisco asa firewalls software network infrastructure cisco ios devices monitors dell infrastructure managed services february 2013 to april 2013 active directory ad windows platform creation deletion permissions vpn a ess developed active directory ad microsoft microsoft calendaring scheduling created ms exchange usmt magic iso backing help kordia solutions april 2011 to april 2012 switches adobe connect soe mcafee antivirus symantec backup exec vpn westpac education master of science in network melbourne institute of technology bachelor of engineering in instrumentation controls gujarat university skills 3 years 3 years 1 year 1 year diversified windows engineer desktop 200 2003 2008 r2 editions good data centers windows mac ios vdi vmware tcp ip bgp ospf five year aws tcp ip protocols lan wan wireless networking technical proficiencies platforms windows vista mac os 200 2003 2008 2003 2013 ibm bigfix enterprise ibm spectum ca servie desk ca ehealth ca ibm scco autodesk spicework
Network Administrator,cap barbell cap barbell june 2018 troubleshoot research provide microsoft active directory windows server os tcp static ip voip wan lan follow sr it manager 3rd party vendors management of data november 2013 to june 2018 analyzes assist sep assist resolve implement computer lab assistant university of tulsa january 2011 to december 2014 maintains maintains education bachelors mathematics university of tulsa tulsa 2014
Network Administrator,information technology professional team strives us june 2014 tenable nessus for corporate manage linux perform linux the change control board creates standard operating procedures january 2012 may 2014 windows dell education master s in information technology walden university april 2017 to august 2019 kali linux amazon web services aws information security network
Network Administrator,talented 4 years 2 years maintains arcsight nexpose vulnerability technician thomas jefferson may 2019 august 2019 brook 2501 maryland may 2019 august 2019 4 months software center imaged windows 10 operating systems sccm information security administrator city of philadelphia philadelphia pa march 2018 to october 2018 check point blue coat authorized entrust ssl wells fargo philadelphia pa october 2017 to march 2018 certificate authority ftp http https ssh ftp troubleshooted february 2017 to april 2017 banking technology assisted reviewed comcast moorestown june 2015 to july 2016 wipro technologies centerton road moorestown nj june 2015 july 2016 1 year 2 months verified active directory arcsight ddos malware troubleshooted ssl cisco pulse the symantec encryption server microsoft third january 2015 to march 2015 robert half technology 3001 market street philadelphia pa 19103 january 2015 march 2015 3 months software center imaged windows 7 operating systems specialist empowering people in the community inc bala cynwyd pa january 2013 to january 2015 operating systems provide brother hp drives windows trojans regulate cloud mark microsoft exchange iphones android encryption standards mac filtering wpa criminal justice 2009 osi ssh scp icmp ftp putty entrust ssl virustotal 2008 microsoft exchange 2010
Network Administrator,junior network engineer it security consultant junior network engineer it security consultant junior network engineer it security consultant port saint lucie fl skilled information technology networking system administration march 2019 to july 2019 verity partners inc asa vpn vlan isp monitor cisco call cisco unity august 2014 to august 2017 royal bank of scotland rbac created 2017 system administrator april 2011 to july 2014 ravago americas north americas south america europe north america 2000 1st 3rd 2013 1st 3rd 2012 nine 9 months the day to day group policy ad 2010 2013 mac ip desktop support field november 2010 to march 2011 troubleshoot education london management and business college 2003 2007 1999 june 2008 to june 2012 microsoft certified june 2017 to june 2020 october 2008 to october 2011 cisco certified network professional cwsp june 2007 to june 2010 certified wireless security professional june 2007 to june 2010 certified wireless network administrator may 2004 may 2007 january 2004 microsoft certified system engineer 2000 february 2005 microsoft certified system engineer 2003
Network Administrator,cloud administrator september 2018 to june 2019 troubleshot cloud maintained azure deployed mbas created sharepoint bluejeans administrator march 2015 to august 2018 uspsoig azure and office airwatch microsoft intune o365 modernized oig windows 10 office 2016 onedrive vdi troubleshot o365 active directory troubleshot vpn cisco vpn client and global protect peace corps clients input oracle net system engineers noc microsoft support staff o365 microsoft exchange admin portal adfs powershell monthly october 2013 to january 2015 contract to the american petroleum institute responsible assist developers and network engineers perform active directory em7 and alert logic ip created the cisco asa windows deployment services apple android windows cisco voip vpn education b s in environmental studies virginia commonwealth university richmond va microsoft windows 7 windows 2008 mac mac 7 10 2008 2012 microsoft exchange mac os ubuntu kali backtrack software office adobe creative suite track it vdi exchange sharepoint hardware networking apple cisco routers
Network Administrator,network analyst network us work experience network analyst 2013 2015 cisco cisco cucm cisco meraki aruba android mpls ethernet mobileiron cisco third 2012 healthcare citrix active directory ibm responsibilities louisiana state university baton rouge 2005
Network Administrator,cisco 3750x cisco 3750x burbank ca june 2017 troubleshoot cisco 3750x acl vlan cisco asa 5512 s nat manage windows dns domain controllers nas alien vault mac monitor create visio monitor ips ids december 2016 to june 2017 2003 subway yogurtland 2003 active directory lan august 2016 to october 2016 setup active directory and group policy dns dhcp print server january 2012 to august 2016 2003 2008 aws cloudstack dns apache helpdesk desktop support data partial cisco switches netapp dns dns dhcp desktop india mexico us light cisco toner inventory responsible office 365 linux windows evault education certification la pierce college winnetka ca
Network Administrator,network engineer network engineer network august 2018 mazda operations cisco nexus series firewalls cisco asa checkpoint ngx nat l1 l2 security ipsec vpn cisco bmc remedy itil new delhi delhi march 2016 to december 2017 apple inc usa cisco nexus juniper mx juniper mx cisco checkpoint juniper firewalls cisco routers rsa authentication server knowledge python site engineers network engineer october 2014 to march 2016 us oncor company dr pepper snapple group mtaas hcl internal responsible security troubleshooting of network cisco asa firewalls checkpoint firewall anyconnect palo alto firewall rsa authentication server ipsec site to site vpn ssl clientless ssl cisco anyconnect vpn cisco asas analyzing remedy nat anyconnect vpn bmc remedy security l1 l2 new delhi august 2013 to september 2014 business units l1 l2 security troubleshooting of network checkpoint firewall nortel ipsec vpn cisco routers provider1 algosec configuration hp service centre hpsc hp service new delhi july 2012 to july 2013 bt security the change management analysis of checkpoint r60 r65 r70 30 incident bmc remedy expedio expedio service requests interacting bt sla soc l1 support unilever new delhi april 2011 to june 2012 ips incident change management bmc remedy cto proactive monitoring nagios first line ips support firewall support and remote a sev1 sla s response distributed systems nagpur university nagpur maharashtra management disaster management bmc skills 6 years 5 years 5 years 4 years ssl ipsec vpn data center cisco nexus
Network Administrator,january 2019 to june 2019 cisco citrix xenapp cisco meraki information security administrated ms active directory maintained first sarbanes oxley sox okta september 2018 to december 2018 cyberark linux cyberark created ms active directory amazon web services aws active directory federation services adfs administrated mim february 2011 to august 2018 ms active directory the infrastructure security and governance regular month remedy oracle microsoft exchange cisco anyconnect vpn cisco jabber ldap siebel identity federation utilized sailpoint iiq identity utilized powershell sql system analysis desktop support helena chemical collierville october 2011 to november 2011 troubleshot provided microsoft 2013 2016 supported multi ghost dism network administrator service assurance september 2010 to march 2011 troubleshoot dns maintained ms active director cisco blackberry administrated cisco anyconnect vpn microsoft office outlook 2013 2016 vmware vsphere hilton worldwide march 2010 to september 2010 troubleshot provided tech servicenow education bachelor university of memphis 2009 associate applied science microcomputer networking jackson state community college 2005 skills active citrix clustering dhcp macintosh 2007 2010 2013 microsoft 2010 2016 office 365 system center configuration 2003 2008 2012
Network Administrator,isp cyber next generation firewall bgp isp november 2016 vpn fortimanager fortianalyzer fortiportal arbor interface cisco cpe juniper 2015 network technician southern management corporation greenville sc 2012 2011 teksystems 2010 2011 windstream greenville fcc education bachelor s in 2009 skills dns security active bgp cisco cmts vpn nas networking remedy server virtualization router ccna network security router noc network arbor crm psa connectwise salesforce dns bgp nmap operating systems platforms vista 7 8 10 kali cisco rdp teamviewer 2003 g wireless data backup optical network units
Network Administrator,us july 2017 present monitoring checkpoint asa assist perform perform washington city dc march 2015 vpn provide provide perform 24 hour vpn ips ids troubleshoot vlan stp hsrp tracert packet configure cisco pix asa nexus wiki page investigate dns dns dhcp wire shark skynet cacti jira service desk plus network engineer ii maryland department of transportation hanover md april 2013 to march 2015 network operations center monitoring tools solarwinds orion bt diamond ipcontrol netid hp openview insight troubleshooting ospf bgp isp coordinates lab network equipment worked maintained itil maximizes network operation center specialist maryland department of transportation hanover md march 2012 to april 2013 create server run cisco works tacas network device create daily add unlock bt diamond ipcontrol dns quest foglight nms operating cisco ios activate clear mac assist maa mdta mpa mta mva tso coordinate ibm maximo ticketing system service request sr network operations center provide analyze certifications licenses ccnp october 2015 to october 2017
Network Administrator,november 2016 security onion solarwinds lem splunk daily wireshark use mysonicwall perform azure vault logix jungle disk backup exec barracuda patch group policy microsoft intune examine snort research system engineers and system consultants create february 2016 to november 2016 microsoft 2012 2016 manage microsoft office active directory organizational unit assist collaborate monitor microsoft office use system configuration center june 2015 to february 2016 administer group group policy management assist system administrator 2012 handle remedy august 2015 to december 2017 august 2012 may 2015
Network Administrator,video repair agent video repair agent it over 7 years mac linux april 2019 daily category 5e windows xp boston ma july 2017 to july 2018 daily identified weekly weekly march 2016 to july 2017 communicate march 2014 to august 2014 may 2013 to august 2013 symplicity operations analyst ubs stamford august 2012 to february 2013 microsoft maintained microsoft 2010 monthly microsoft scheduled microsoft new york ny february 2011 to january 2012 bloomberg citrix active directory cat 5 bloomberg s bloomberg api bloomberg news macros bloomberg troubleshot vpn vpn skills data center networking 7 4 years 4 years flash macromedia acrobat adobe illustrator vmware vmware fusion network software installations xp vista scsi networking essentials hdd 2003 2008
Java Developer,data february 2019 python interpret excel tableau data analyst administration krypital group january 2018 to december 2018 weekly monthly ico google analytics google daily maintained java back tellon trading inc norcross august 2017 to january 2018 quality engineers december 2012 to january 2015 previous years rfid academic project agricultural internet project dalian university of technology dalian liaoning october 2011 to july 2012 interactive voice response system association google camp dut dalian university of technology dalian liaoning september 2009 to july 2011 the university of texas dallas may 2017 the university of texas dallas august 2016 computer science dalian university of technology july 2011 april 2017 the adwords fundamentals april 2017
Java Developer,tibco developer app developer aplications management development philadelphia pa computer science may 2018 present tirane albania planning tibco tm tibco tm creating java integration boot camp assessment 2018 tibco education services 2018 certificate of appreciation for sharepoint microsoft corvallis s p may 2016 april 2017 tirane al july 2014 to july 2015 albania programming 2014 php developer june 2013 to june 2014 albania monitor june 2013 june 2014 affiliations professional activities 5 13 administration natural sciences tirana al bachelor of science in computer science natural sciences tirana al 2009 sql
Java Developer,infosys ltd january 2016 to august 2017 sound spring framework spring ioc restful sound java collections jdbc tomcat 9 0 identified maven junit excellent database administrator august 2013 to december 2015 hours recovery time mssql optimized a year education master of science in computer science in computer science university of maryland august 2017 may 2019 august 2008 may 2012 skills java spring 1 year 1 year 1 year rest links hibernate sockets linux debian hp itsm postman research photoplethysmograph ppg may 2018 ppg
Java Developer,gc platform api engineer gc java j2eefullstackdeveloper 9 years certified jms agile spring boot jenkins bamboo gocd for continuous integration and continuous deployment log4j expertise mockito spock testngandintegration selenium web java j2ee jsp servlets javascript ajax json jquery css3 xml jdbc multi web j2ee technologies servlets 3 jms spring 3 jdbc jsf javabeans web j2ee mvc expertise springweb flow spring framework good exposure to service webservices jax rpc jax ws saaj jax rs web logic web sphere tomcat xml xsd domparsers xml dtd xsl xslt xpath javaidetools wsad netbeans expertise bootstrap cvs clearcase svn git jenkins ant groovy unittesting mockito firebug fireposter qa sqlqueries functions storedprocedures pl sql packages gui graphicaluserinterface sql sql us work experience gc platform api december 2018 1989 schaffhausen switzerland united states first gps almost three decades ago garmin s java j2ee technologies web services spring framework involved garmin created rest garmin garmin nfc garmin jsp java script middleware servlet and controllers business page beans ibatis spring security springboot framework spring security odbc mongo db used microservices http soa sql mongo db cassandra mockito write jenkins java j2ee cassandra java 8 junit active mq jms cloud foundry clear case ant java jenkins kafka march 2017 to november 2018 the nielsen corporation the nielsen company acnielsen ac nielsen new york city north america chicago schaumburg angular4 jquery bootstrap springboot angularuibootstrap ui json restclient postman junit mockito angular jms configured gulp nodejsnpm bower angular grid s slickgrid jasmine karma protractor and selenium springboot soapui used hibernate node implement express express angular node mongo db node js ide qa qasupport jenkins aws node json environment java 7 sts tomcat node js express january 2016 to february 2017 description blackrock inc american new york city founded 1988 blackrock 6 3 trillion december 2017 react js react dom bootstrap jsx npm watchify babilify browserify http fetch body parser express node js express bean component repository auto followed reflux spring framework oracle hibernate annotations used bootstrapcss create bootstrap hql code reviews experience mongo mongo jms aws ec2 elb s jenkins integration created the dao service controller dbunit springtest ant gradle databaseschemas uat team environment java junit js node gradle tal international group inc new york ny march 2014 to december 2015 description tal international group inc equipment leasing and equipment trading responsibilities ui implementation tiles validation struts mvcparadigm actionmapping actionclass dispatchactionclass actionformbean applied struts tiles validation struts mvcparadigm actionmapping actionclass dispatchactionclass actionformbean mvcarchitecture struts swings struts action classes struts strutsbeantags logicaltags displaytags j2ee struts jsp jstl ajax hibernate developed identified the web services jms mq s underlying soap axis jax rs consumed soap rest the message orientedmiddleware for asynchronous tibco jbossapplication environment java html5 css3 javascript bootstrap spring mvc spring security oauth2 spring mockito jenkins jms shell scripts sql web sphere december 2012 to february 2014 indian first lng dahej gujarat kochi kerala responsibilities uicomponents jsf ajax jquery xhtml designed userinterface javaserverfaces jsf interface jsftabpanels panel jsf guilayout modelviewarchitecture inversionofcontrol soapui web services xml http xsl soap xml third sql dbms ddl functions and procedures created insertion updating deletion responsible for code reviews ejbcomponents sessionfacade servicelocator servlets java bean system jdbc pl sqlstoredprocedures functions triggers defectfixing feature enhancements testing and documentation environment html jsf ejb soap pune maharashtra january 2011 to november 2012 description praj industries ltd pune maharashtra india south africa north america uae responsibilities inolved businesslayer data management groovy scrum development java jsp servlets wsad view controller mvc cmsproject ajax strutsaction formclasses javabeans ui sql javascript node used hibernate sql stored procedures used spring core sql sql corejava multi threading exceptionhandling collectionapis usecases uml sequencediagrams activitydiagrams classdiagrams web services xml soap eclipse ant environment jsp xml
Java Developer,huntington 6 years 3 years big data hadoop 3 years java j2ee sound certified cloudera spark hadoop hadoop kafka oozie mapreduce expertise java scala c c python experience sql rdd amazon web service cloudera chd cloudera hadoop chd flume kafka sqoop utilize kafka nifi flume oozie experience hbase rdbms flume hadoop architecture hdfs mapreduce data mining machine learning k means decision winnow linear svm adaboost neural network machine learning python r unix mvc j2ee struts 2 spring css javascript hibernate familiar pytest excellent su technical s hadoop eco web technologies javascript php sql mongod work experience huntington indianapolis november 2015 present description huntington bank hadoop spark streaming and apache kafka responsibilities designed hadoop hive pig loaded sqoop hdfs relational created flume loaded hadoop utilized kafka spark scala utilized hdfs hbase zookeeper performed junit pytest environment hadoop hive sqoop the hanover insurance group somerset nj october 2013 to september 2015 the hanover insurance group hdfs hadoop responsibilities responsible hadoop amazon ec2 hadoop hadoop hive pig sqoop flume zookeeper hive hive sqoop used flume hdfs pig and hive tableau ooize hdfs pig performed junit february 2012 to august 2013 description jpmorgan chase the united states spring mvc orm jsp javascript jdbc sql javascript junit agile jsp javascript java developer may 2011 to september 2011 chinese china alibaba taobao responsibilities designed spring mvc jsp javascript sql singleton used java jsp front end december 2010 to april 2011 chinese stony brook ny chung how kitchen responsibilities communicated adobe dreamweaver developed user interface javascript fixed firefox safari ie ajax json environment eclipse adobe stony brook ny
Java Developer,java front end 7 years xhtml angular2 node js mongo db experienced react js ecma script used babel es2015 jsx react js npm node package single angular js 2 psd angular2 es6 features experience restful web http get put post delete created restful java jax rs node express jsframework experience the software development life cycle sdlc analysis design development testing implementation sql triggers stored procedures oracle sql server xhtml ajax js node js knockoutjs twitter bootstrap building tree slide view table grid react google extensive javascript node custom directives extensive jquery jquery ajax bootstrap proficient ajax jquery rails mvvm service oriented architecture soa xml web services firebug cross svn waterfall agile anywhere authorized us us december 2016 the united states tier architecture jsp jdbc servlets web services j2ee handled restful web services spring mvc json xml ajax javascript angular js applied angular jquery json ajax dom simplejdbctemplate rdbms oracle mvc mongo db firebug crud json algorithm directives data binding angular js angular js angular 3d shapes nodejs application consumed su struts jquery dhtmlx rectified ie11 view mvc cms javascript jquery ui ajax ie firefox postman karma jasmine angular angular mvc grunt jasmine eclipse web developer september 2015 to october 2016 agile xhtml mongo db bootstrap3 model view controller angular angular web services ajax angular ui views angular ui used express framework http node angular ui api designed ui bootstrap ajax node npm grunt express angular react virtual dom algorithm react git bower javascript node login profile user nodejs soa backend maximized angular bootstrap3 underscore ajax mvc github firebug server grunt jasmine april 2014 to august 2015 ui javascript json jquery ajax developed javascript framework react js dom application react js node npm url s react js npm node package react forms events keys router animations flux dom react props lifecycle react states php javascript ajax bootstrap javascript javascript used bootstrap javascript tabs scroll spy tooltips pop overs buttons and alerts react js ui react js worked on react js virtual dom react web api node js api created the react dom babel es6 to es5 react ott react npm node package ajax listing designed xml schemas web services firebug nodes dom dom functions firefox javascript jquery ajax angular d3 ajax seo ie safari opera xhtml backend git hub ui karma jasmine daily xhtml javascript json jasmine mysql js jasmine mocha jenkins sass grunt seo react bootstrap february 2013 to march 2014 sdlc xml gathered user requirement specifications and functional requirement specifications jsp presentation layer xhtml gui controllers oracle applied jsf framework front controller developed ui javascript web services ajax xml utilized jquery rich internet application ria safari firefox google javascript ajax adobe windows web developer taproot foundation june 2011 to december 2012 responsibilities dynamic j2ee environment gathered ui ui visio adobe photoshop adobe illustrator flash powerpoint visual interdev hand ui home site designed jsp xhtml javascript custom tags jquery ajax firebug nodes dom dom functions firefox ie apache tomcat implemented su auto complete auto suggest ajax jasmine developed ui silver business stake json javascript user jsf ui components validator events listeners environment html css adobe photoshop cs5 jr web may 2010 may 2011 ui architects system analyst ui css developed javascript navigation sql jquery ajax designed css selectors inheritance validation controls jquery javascript jquery day environment html css java script bachelor s 7 years 7 years 6 years xml 6 years 7 years typescript web services karma chai nt xp 2000 notepad eclipse visual studio adobe dreamweaver webstorm brackets ie opera safari
Java Developer,webster ny 7 years java j2ee technologies core java servlets jms xml ajax mvc multi threading singleton session facade service locator factory user interface ui applications xml good javascript mvc framework node server side experienced node node controllers views extjs button good experience the document object model dom javascript rwd bootstrap firebug mozilla safari eclipse brackets sublime text amazon web services aws extensive ec2 vpc cloud watch cloud front ci aws codepipeline jenkins codedeploy experience cxf esb rest aws soap web application servers tomcat web sphere jboss weblogic extensive user interactive ui webpages user interfaces xhtml jquery ajax json proficient rdbms oracle db2 mysql ide eclipse eclipse rad net multi threading and collections frameworks experience oracle 10g sql unix shell scripting experience waterfall agile sdm s excellent multi platform environment cm svn git pvcs clearcase clearquest perforce cruise bamboo chef puppet work experience stack developer webster november 2017 paychex inc paychex hr solutions uml ui jsp javascript bootstrap uml design spring core module for inversion of control created spring dispatch spring spring aop core java exceptions and collections designed implemented persistence mvc spring used spring framework for dependency injection spring framework spring core spring mvc involved jersey ant unix qa junit aws ec2 aws ec2 vpc aws beanstalk java node python monitored qa jax rs git weekly environment java j2ee hibernate spring mvc jsp november 2017 june 2016 to october 2017 application uml use cases java j2ee technologies web services bootstrap database built designed prototype java script node jsp javabeans jstl custom tag libraries ajax used react js js the java code api jsp ui build soap web services aws amazon web services developed junit test cases jenkins used jenkins cascading style sheets css su auto complete auto suggest ajax jquery ajax xml ivr visio ivr wrote java servlets the vui responsibilities j2ee technologies struts spring framework developed mvc controllers spring mvc extensively core spring framework for dependency injection web services spring restful developed spring integration used ant scripts hibernate query language hql hibernate application rad maintained git controllers ftp jsf spring boot worked maven spring integrations spring security supporting jasmine jms java jms javascript jquery websphere application server java jms ajax jsp mysql ms visio css javascript jstl bootstrap d3 august 2015 may 2016 monthly followed scrum mvc used css preprocessor bootstrap jenkins used jenkins ui spring mvc restful web service aws java amazon apache camel developed spring jms apache camel sql jersey node sql hibernate configuration file consumed restful web services sql sit uat cfg xml xml tomcat svn gulp application netbeans mvc javascript svn ajax junit sql aws activemq node spring jms september 2014 to july 2015 description pnc financial services group xhtml the w3c standards implemented mvc the struts framework designed dynamic multi javascript ajax jsp java script jquery framework ui linux developed gui screens jsp javascript ajax jquery framework brief mvc debug firebug dom xul javascript json http web services ajax sts jquery javascript designed javascript db2 worked ant log4j maintained clear case environment xhtml louisville us october 2012 to analysis design and implementation java j2ee xml xslt ext js jsp created seo bulk attributes angular spring mvc handler mapping view resolver jsp ajax yui struts the hibernate pojo objects hibernate annotations developed mvc struts framework jsp node angular jsp struts rest web services designed developed jsp servlets spring designed jsp struts tiles framework javascript sql sql javascript jsp hibernate framework xml eclipse weblogic application server used rational clearquest environment j2ee jsp servlets ejb 3 eclipse may 2011 to september 2012 sdlc unit test plan use cases class diagrams jsp java servlets servlets ui business objects java j2ee design business delegate mvc session fa ade factory method service locator singleton data transfer integrating spring jsf designed developed web services query language hql layer java javascript ajax soap wsdl education skills j2ee 7 years 7 years 7 years 7 years sql java technologies servlets jsp web services data npm web technologies ajax xml dom gwt xpath dom dtd microsoft windows unix linux database oracle 8i 10g 11g rds lambda api gateway
Java Developer,java j2ee us march 2018 two months core sdlc use case oracle mysql mongo jsp javascript restful web services jersey jax rs crud http micro used singleton session facade java 1 8 and spring 1 5 crud solr xml schemas xsd xml weblogic application server aws ec2 soa java java git maven build ci jenkins git jfrog artifactory docker private followed agile scrum scrum 8 mvc jenkins spring jsp javascript september 2016 to december 2017 system architecture system use cases adapted agile methodology analysis design system daily standup jsp javascript angular backbone js angular js java spring java multi restful web angular js spring security spring boot spring dependency injection spring annotations used hibernate transaction management spring data framework spring jdbc spring orm jdbc template hibernate template data xml mvc spring boot http micro spring boot with spring monitored micro services managed domains mongo db use maven github docker micro services pcf bootstrap developer farmers insurance group wilmington de march 2016 to august 2016 roles responsibilities participated requirement analysis implementation testing and maintenance interacted controller singleton mvc spring framework ioc inversion of control aws identity aws ec2 used spring orm spring oracle 11 micro the spring boot spring data jpa hql api created micro spring boot angular js apache camel java dsl system ui abc navigation components services svn environment java j2ee eclipse weblogic aws j2ee intelli swift software ltd september 2013 to november 2015 java j2ee javascript angular jquery ajax json java servlets the business data objects plan setup java sql jdbc oracle the login policy and claims screens ajax javascript struts tags consumed third cross site jdbc java web january 2013 to august 2013 jsp jstl worked xml web services soap monitoring systems locator data singleton maven log4j sit uat production environment used the hibernate framework orm xml dom struts enterprise java beans ejb struts jsp standard tag libraries jstl performed performance tuning java jdk pl sql responsible the qa team environment j2ee java jstl java script wilmington university new castle de 2017 bachelor s degree 2013 j2ee hibernate intellij spring jsf jsp jstl visual design django git html javascript angular java j2ee expertise jsp javascript ext js agile scrum j2ee java j2ee single service oriented architecture soa soap wsdl xml xsd jax ws apache cxf good oracle sql db2 mysql pl sql stored procedures functions joins triggers data models expertise core java oop s multi j2ee technologies jdbc web services frameworks netbeans sql mac ios
Java Developer,sr java front end ui developer farmers insurance group wilmington de 7 years java j2ee expertise jsp javascript agile scrum j2ee java j2ee single service oriented architecture soa proficiency soap wsdl xml xsd jax ws apache cxf mvc spring framework spring spring core spring aop spring spring aws cloud ec2 ami ebs oracle sql db2 mysql pl sql stored procedures functions joins triggers data models expertise core java oop s multi git github cvs svn extensive jasmine karma ajax javascript ide eclipse ant maven gradle us developer farmers insurance group wilmington de january 2019 requirement analysis implementation testing and maintenance interacted controller singleton mvc spring framework ioc inversion of control aws identity aws ec2 used spring orm spring oracle 11 micro the spring boot spring data jpa hql api created micro spring boot angular js apache camel java dsl system ui abc navigation components services svn environment java j2ee eclipse weblogic aws ui developer farmers insurance group boston ma july 2016 to november 2018 ui angular angular sass bootstrap angular2 4 javascript node react js react dom babel npm javascript svn jira internal application angular ajax jsp javascript august 2014 to june 2016 jsp jstl competency xml web services soap monitoring systems experience locator data singleton maven log4j sit uat production environment used the hibernate framework orm xml dom enterprise java beans ejb struts jsp standard tag libraries jstl performed performance tuning java jdk pl sql responsible the qa team environment j2ee java jstl java script april 2012 to july 2014 waltham massachusetts two months core sdlc use case spring oracle mysql mongo jsp javascript restful web services jersey jax rs crud http microservice used singleton session facade java 1 8 and spring 1 5 crud solr xml schemas xsd xml weblogic application server soa java java git maven build ci jenkins git jfrog artifactory docker private followed agile scrum scrum 8 mvc jenkins spring jsp javascript manhattan august 2011 to march 2012 manhattan new york sdlc system architecture system use cases adapted agile methodology analysis design system daily standup jsp javascript angular backbone js angular js java spring java multi threading restful web angular js spring security spring boot spring dependency injection spring annotations used hibernate transaction management spring data framework spring jdbc spring orm jdbc template hibernate template data xml mvc spring boot micro http micro spring boot with spring monitored micro services managed domains mongo db use maven github docker micro services pcf bootstrap github wi wisconsin august 2010 to july 2011 angular javascript mysql built ant jboss application the ant scripts angular 2 rxjs log4j ant ivy used ant ivy javascript jasmine karma team foundation source code control systems team foundation node java bash 2010 log4j javascript jquery css bootstrap json cors utilized java hql wrote junit firebug eclipse 8 jboss 4 3 apache sql ce microsoft sql c web technologies j2ee technologies jdbc web services frameworks netbeans sql sql ios android unix
Java Developer,java j2ee march two months core sdlc use case oracle mysql mongo jsp javascript restful web services jersey jax rs crud http micro used singleton session facade java 1 8 and spring 1 5 crud solr xml schemas xsd xml weblogic application server aws ec2 soa java java git maven build ci jenkins git jfrog artifactory docker private followed agile scrum scrum 8 mvc jenkins spring jsp javascript september 2016 to december 2017 system architecture system use cases adapted agile methodology analysis design system daily standup jsp javascript angular backbone js angular js java spring java multi restful web angular js spring security spring boot spring dependency injection spring annotations used hibernate transaction management spring data framework spring jdbc spring orm jdbc template hibernate template data xml mvc spring boot http micro spring boot with spring monitored micro services managed domains mongo db use maven github docker micro services pcf bootstrap developer farmers insurance group wilmington de march 2016 to august 2016 roles responsibilities participated requirement analysis implementation testing and maintenance interacted controller singleton mvc spring framework ioc inversion of control aws identity aws ec2 used spring orm spring oracle 11 micro the spring boot spring data jpa hql api created micro spring boot angular js apache camel java dsl system ui abc navigation components services svn environment java j2ee eclipse weblogic aws j2ee intelli swift software ltd september 2013 to november 2015 java j2ee javascript angular jquery ajax json java servlets the business data objects plan setup java sql jdbc oracle the login policy and claims screens ajax javascript struts tags consumed third cross site jdbc java web january 2013 to august 2013 jsp jstl worked xml web services soap monitoring systems locator data singleton maven log4j sit uat production environment used the hibernate framework orm xml dom struts enterprise java beans ejb struts jsp standard tag libraries jstl performed performance tuning java jdk pl sql responsible the qa team environment j2ee java jstl java script wilmington university new castle de 2017 bachelor s degree 2013 j2ee hibernate intellij spring jsf jsp jstl visual design django git html javascript angular
Java Developer,7 5 plus years application development java j2ee sql pl sql extensive core java j2ee ide eclipse core java java 8 functional interfaces lambda expressions java stream api expertise javascript ajax mvc spring boot restful web services maven log4j expertise junit mockito sql pl sql oracle stored procedures functions packages cursors exception sql pl sql participated architecture design technical analysis design development testing enhancement production support and change management 2 plus years scrum waterfall finance svn github shell scripting extensively third toad sql developer excellent team september rwa fry 14a ppnr nir nix responsibilities part of the web service etl spring boot restful web services mybatis extensive use of java 8 junit mockito functional specifications and technical specifications followed agile monthly sprint a week daily the day to day apache architecture design senior pl sql java developer august 2016 to august 2018 new jersey zues credit risk information credit risk datahub for investment banking and wealth management applications responsibilities worked on etl executor framework batch jobs procedures sql loading oracle tables table partitioning oracle automated batch jobs autosys handled exception handling analyzed created partitions attend sprint every two to four weeks java j2ee developer the city of new york gurgaon haryana january 2013 to april 2016 india the city of new york client and community system the city s human service the web application the spring 3 portlet the presentation service data jstl ajax jquery mybatis sql oracle svn performed unit used code analysis pmd daily sla application gurgaon haryana june 2012 to december 2012 india project details disney movie club disney movies dvd s blu rays responsibilities front end ui ba ui jsp javascript product thomas cook gurgaon haryana august 2011 to march 2012 india project thomas cook worked on the presentation service data the application part of the web based development i jsp javascript sql creation of unit test cases
